"Cod_IBGE";"Grande regiao";"Municipio";"casos_acum";"obitos_acum"
3500105;"Interior";"Adamantina";12068;195
3500204;"Interior";"Adolfo";1357;28
3500303;"Interior";"AguaÌ";8080;139
3500402;"Interior";"¡guas da Prata";2324;40
3500501;"Interior";"¡guas de LindÛia";5843;68
3500550;"Interior";"¡guas de Santa B·rbara";623;25
3500600;"Interior";"¡guas de S„o Pedro";486;17
3500709;"Interior";"Agudos";9430;123
3500758;"Interior";"Alambari";1733;13
3500808;"Interior";"Alfredo Marcondes";324;23
3500907;"Interior";"Altair";326;18
3501004;"Interior";"AltinÛpolis";1252;70
3501103;"Interior";"Alto Alegre";425;29
3501152;"Interior";"AlumÌnio";2261;56
3501202;"Interior";"¡lvares Florence";663;20
3501301;"Interior";"¡lvares Machado";4543;95
3501400;"Interior";"¡lvaro de Carvalho";357;9
3501509;"Interior";"Alvinl‚ndia";158;10
3501608;"Interior";"Americana";29860;1053
3501707;"Interior";"AmÈrico Brasiliense";8159;114
3501806;"Interior";"AmÈrico de Campos";1298;40
3501905;"Interior";"Amparo";10679;269
3502002;"Interior";"Anal‚ndia";849;6
3502101;"Interior";"Andradina";16449;326
3502200;"Interior";"Angatuba";6707;99
3502309;"Interior";"Anhembi";463;16
3502408;"Interior";"Anhumas";412;10
3502507;"Interior";"Aparecida";3012;130
3502606;"Interior";"Aparecida d'Oeste";1989;29
3502705;"Interior";"ApiaÌ";1815;113
3502754;"Interior";"AraÁariguama";3393;81
3502804;"Interior";"AraÁatuba";49892;1038
3502903;"Interior";"AraÁoiaba da Serra";3327;106
3503000;"Interior";"Aramina";396;20
3503109;"Interior";"Arandu";669;23
3503158;"Interior";"ArapeÌ";277;7
3503208;"Interior";"Araraquara";74254;691
3503307;"Interior";"Araras";20530;469
3503356;"Interior";"Arco-Õris";685;10
3503406;"Interior";"Arealva";2356;32
3503505;"Interior";"Areias";402;7
3503604;"Interior";"AreiÛpolis";2401;33
3503703;"Interior";"Ariranha";1034;38
3503802;"Interior";"Artur Nogueira";9541;170
3503901;"RMSP (exceto capital)";"Aruj·";12937;368
3503950;"Interior";"Asp·sia";675;13
3504008;"Interior";"Assis";27452;491
3504107;"Interior";"Atibaia";13511;521
3504206;"Interior";"Auriflama";2585;92
3504305;"Interior";"AvaÌ";847;14
3504404;"Interior";"Avanhandava";1995;50
3504503;"Interior";"AvarÈ";15922;337
3504602;"Interior";"Bady Bassitt";5345;105
3504701;"Interior";"Balbinos";839;4
3504800;"Interior";"B·lsamo";3364;78
3504909;"Interior";"Bananal";1170;11
3505005;"Interior";"Bar„o de Antonina";1127;11
3505104;"Interior";"Barbosa";993;26
3505203;"Interior";"Bariri";8404;160
3505302;"Interior";"Barra Bonita";5676;130
3505351;"Interior";"Barra do ChapÈu";469;16
3505401;"Interior";"Barra do Turvo";919;27
3505500;"Interior";"Barretos";34386;658
3505609;"Interior";"Barrinha";1783;96
3505708;"RMSP (exceto capital)";"Barueri";51913;1279
3505807;"Interior";"Bastos";4156;104
3505906;"Interior";"Batatais";7126;213
3506003;"Interior";"Bauru";95157;1524
3506102;"Interior";"Bebedouro";6247;367
3506201;"Interior";"Bento de Abreu";694;6
3506300;"Interior";"Bernardino de Campos";2075;42
3506359;"Interior";"Bertioga";11910;207
3506409;"Interior";"Bilac";971;26
3506508;"Interior";"Birigui";32472;666
3506607;"RMSP (exceto capital)";"Biritiba Mirim";1603;122
3506706;"Interior";"Boa EsperanÁa do Sul";2713;33
3506805;"Interior";"Bocaina";2585;40
3506904;"Interior";"Bofete";2974;30
3507001;"Interior";"Boituva";7145;222
3507100;"Interior";"Bom Jesus dos Perdıes";2571;59
3507159;"Interior";"Bom Sucesso de ItararÈ";786;7
3507209;"Interior";"Bor·";225;2
3507308;"Interior";"BoracÈia";1079;27
3507407;"Interior";"Borborema";5153;63
3507456;"Interior";"Borebi";315;4
3507506;"Interior";"Botucatu";59509;411
3507605;"Interior";"BraganÁa Paulista";50937;657
3507704;"Interior";"Bra˙na";638;27
3507753;"Interior";"Brejo Alegre";951;14
3507803;"Interior";"Brodowski";5145;89
3507902;"Interior";"Brotas";8127;77
3508009;"Interior";"Buri";4871;109
3508108;"Interior";"Buritama";6386;92
3508207;"Interior";"Buritizal";360;10
3508306;"Interior";"Cabr·lia Paulista";1315;9
3508405;"Interior";"Cabre˙va";8809;162
3508504;"Interior";"CaÁapava";17821;345
3508603;"Interior";"Cachoeira Paulista";6175;75
3508702;"Interior";"Caconde";3872;46
3508801;"Interior";"Cafel‚ndia";920;61
3508900;"Interior";"Caiabu";340;9
3509007;"RMSP (exceto capital)";"Caieiras";14451;374
3509106;"Interior";"Caiu·";534;12
3509205;"RMSP (exceto capital)";"Cajamar";5702;274
3509254;"Interior";"Cajati";7338;117
3509304;"Interior";"Cajobi";2428;39
3509403;"Interior";"Cajuru";2192;89
3509452;"Interior";"Campina do Monte Alegre";647;29
3509502;"Interior";"Campinas";231389;5603
3509601;"Interior";"Campo Limpo Paulista";11270;318
3509700;"Interior";"Campos do Jord„o";13887;168
3509809;"Interior";"Campos Novos Paulista";327;14
3509908;"Interior";"CananÈia";2647;39
3509957;"Interior";"Canas";245;9
3510005;"Interior";"C‚ndido Mota";8337;189
3510104;"Interior";"C‚ndido Rodrigues";157;8
3510153;"Interior";"Canitar";1634;30
3510203;"Interior";"Cap„o Bonito";10996;183
3510302;"Interior";"Capela do Alto";1750;54
3510401;"Interior";"Capivari";5971;189
3510500;"Interior";"Caraguatatuba";39752;559
3510609;"RMSP (exceto capital)";"CarapicuÌba";47657;1316
3510708;"Interior";"Cardoso";4087;73
3510807;"Interior";"Casa Branca";6917;137
3510906;"Interior";"C·ssia dos Coqueiros";260;4
3511003;"Interior";"Castilho";4830;103
3511102;"Interior";"Catanduva";40899;757
3511201;"Interior";"Catigu·";934;44
3511300;"Interior";"Cedral";4208;41
3511409;"Interior";"Cerqueira CÈsar";4215;64
